State,Bans per county
AK,13
AL,9
AR,15
AZ,4
CA,29
CO,79
CT,28
DE,23
FL,15
GA,41
HI,30
IA,32
ID,13
IL,33
IN,41
KS,17
KY,12
LA,39
MA,36
MD,20
ME,24
MI,53
MN,15
MO,7
MS,58
MT,11
NC,39
ND,1
NE,37
NH,14
NJ,29
NM,56
NV,21
NY,81
OH,17
OK,31
OR,66
PA,23
RI,46
SC,27
SD,1
TN,16
TX,7
UT,59
VA,27
VT,31
WA,68
WI,18
WV,53
WY,48
