,California
1/10/21,2744008
1/11/21,2784716
1/12/21,2832085
1/13/21,2870104
1/14/21,2910044
1/15/21,2948054
1/16/21,2983149
1/17/21,3014428
1/18/21,3043005
1/19/21,3078551
1/20/21,3097632
1/21/21,3122705
1/22/21,3147207
1/23/21,3168028
1/24/21,3187475
1/25/21,3213222
1/26/21,3235045
1/27/21,3251292
1/28/21,3273905
1/29/21,3293531
1/30/21,3310949
1/31/21,3324264
2/1/21,3342647
2/2/21,3355781
2/3/21,3368281
2/4/21,3382932
2/5/21,3399745
2/6/21,3408241
2/7/21,3417982
2/8/21,3432088
2/9/21,3442672
2/10/21,3451176
2/11/21,3461753
2/12/21,3471311
2/13/21,3480228
2/14/21,3485841
2/15/21,3491392
2/16/21,3499871
2/17/21,3506402
2/18/21,3512396
2/19/21,3521225
2/20/21,3527338
2/21/21,3531846
2/22/21,3536946
2/23/21,3543340
2/24/21,3549090
2/25/21,3554629
2/26/21,3559682
2/27/21,3564094
2/28/21,3567582
3/1/21,3573549
3/2/21,3577966
3/3/21,3582320
3/4/21,3587567
3/5/21,3592560
3/6/21,3596760
3/7/21,3599311
3/8/21,3602445
3/9/21,3607891
3/10/21,3611295
3/11/21,3614852
3/12/21,3618976
3/13/21,3620890
3/14/21,3623063
3/15/21,3626027
3/16/21,3628300
3/17/21,3631572
3/18/21,3635179
3/19/21,3638212
3/20/21,3640524
3/21/21,3641876
3/22/21,3645303
3/23/21,3647808
3/24/21,3650638
3/25/21,3653168
3/26/21,3656610
3/27/21,3658714
3/28/21,3660713
3/29/21,3663913
3/30/21,3666266
3/31/21,3668745
4/1/21,3671349
4/2/21,3675191
4/3/21,3676183
4/4/21,3676873
4/5/21,3682861
4/6/21,3685045
4/7/21,3687493
4/8/21,3690031
4/9/21,3693674
4/10/21,3696980
4/11/21,3700471
4/12/21,3704070
4/13/21,3706629
4/14/21,3708716
4/15/21,3711723
4/16/21,3714587
4/17/21,3716579
4/18/21,3718210
4/19/21,3720901
4/20/21,3723446
4/21/21,3725088
4/22/21,3727913
4/23/21,3729116
4/24/21,3731145
4/25/21,3731770
4/26/21,3734562
4/27/21,3736745
4/28/21,3738327
4/29/21,3740038
4/30/21,3742115
5/1/21,3743681
5/2/21,3744830
