NAME,POPESTIMATE2019,PERC_MALE,PERC_FEMALE,PERC_WHITE,PERC_BLACK,PERC_NATIVE,PERC_ASIAN,PERC_PACIFIC,PERC_NOTHIS,PERC_HIS,PERC_UNDER_12,PERC_UNDER_18,PERC_UNDER_25,PERC_UNDER_35,PERC_UNDER_45,PERC_UNDER_55,PERC_UNDER_65,PERC_UNDER_75,PERC_OVER_75
Alabama,4995720,0.4833841768553882,0.5166158231446117,0.6941143618937811,0.2716102984154436,0.013868471411528268,0.01863314997637978,0.0017737183028672544,0.953486584516346,0.04651341548365401,0.1496773237891635,0.07681495360028184,0.09234704907400736,0.13168532263617658,0.12032239597095114,0.12470274555019097,0.13290576733684034,0.10123906063590433,0.07030538140648394
Alaska,791763,0.5202781640465645,0.47972183595343554,0.66454229359038,0.04945292972770892,0.18720500957988692,0.07987996408016035,0.018919803021863867,0.9251063765293402,0.07489362347065978,0.1792493460795718,0.08332291354862503,0.09588980540894182,0.16016661551499628,0.12848668098913438,0.11230380808398473,0.12186727593989616,0.07957684307046427,0.039136711364385554
Arizona,7511073,0.49691848288520163,0.5030815171147984,0.8262308194847794,0.061576155630493803,0.06103282447128393,0.04620817824563814,0.004952022167804786,0.6833755976010352,0.31662440239896483,0.15217918931156707,0.07969380673040989,0.09675901166184911,0.13865449051021073,0.12243909758299514,0.115537686825837,0.11893613602211028,0.10110259878981338,0.07469798256520739
Arkansas,3088059,0.49104923189615224,0.5089507681038478,0.7925399093734932,0.16222261297468735,0.020020342875573298,0.020514504418471278,0.0047026303577749,0.9208723019864582,0.07912769801354184,0.15675186257775514,0.08061892599849937,0.09311674420728361,0.13129736187035287,0.12173180628997049,0.11852849961739721,0.12646520030867286,0.09916196549353494,0.0723276336365335
California,41244250,0.4971312849669954,0.5028687150330046,0.7227934318117071,0.07343685483431024,0.02640976620983531,0.16851015596113397,0.00884979118301339,0.6097973172017918,0.39020268279820824,0.15393668208295702,0.0785975984531177,0.09460892124356729,0.15334872133691363,0.1326995641816738,0.12405399540542016,0.11877902980415452,0.08362709953508671,0.06034838795710917
Colorado,5955994,0.5036442279827683,0.4963557720172317,0.8685156499486064,0.055838202657692404,0.026722995355603112,0.045096418834538785,0.003826733203559305,0.7802815113648536,0.21971848863514637,0.1475327208187248,0.07778617641320659,0.09308891177526371,0.15865529750365767,0.13765913800450438,0.12093783170365853,0.12151053207911224,0.08861425985318319,0.054215131848688904
Connecticut,3661327,0.4879381164260936,0.5120618835739064,0.7973554397080621,0.1335889965578054,0.011797635119725716,0.05502677034856488,0.0022311582658418655,0.8283966441675381,0.17160335583246183,0.1332467709112024,0.0769778279842254,0.09729832926695703,0.12585710044472947,0.1192644087785658,0.1322244639716693,0.1417453289476739,0.09717269175902617,0.07621307793595054
Delaware,1002649,0.48345632419720164,0.5165436758027984,0.6950547998352364,0.24303619711384541,0.01348029070990945,0.04636517864177793,0.0020635336992307378,0.9025272054328085,0.0974727945671915,0.14286754387627176,0.07383441264091421,0.08623356728027455,0.13241622940829742,0.1154312226910913,0.12045690964634682,0.13886315151164566,0.1134883693096986,0.07640859363545967
Florida,21995082,0.48878262877128625,0.5112173712287138,0.773444490909377,0.17777560456469316,0.00999746215995012,0.0361427613682004,0.0026396809977794126,0.7366770444411165,0.2633229555588836,0.1335877265654204,0.06885539230997184,0.08213890723389893,0.13047921348963373,0.12061819092104317,0.12501494652304548,0.13330820953520428,0.11306295652819116,0.09293445689359103
Georgia,10874206,0.48592274231332383,0.5140772576866761,0.606324636483804,0.3312251027799179,0.011223899933475603,0.049058202502325225,0.0021681583004772944,0.8998904379777245,0.10010956202227547,0.15772066484670236,0.08369171965291075,0.09635636845577507,0.14042827586676213,0.12923003297895957,0.13042432707270765,0.12145695970813869,0.08591146792694565,0.05478018349109811
