,Montana
1/22/20,
1/23/20,0.0
1/24/20,0.0
1/25/20,0.0
1/26/20,0.0
1/27/20,0.0
1/28/20,0.0
1/29/20,0.0
1/30/20,0.0
1/31/20,0.0
2/1/20,0.0
2/2/20,0.0
2/3/20,0.0
2/4/20,0.0
2/5/20,0.0
2/6/20,0.0
2/7/20,0.0
2/8/20,0.0
2/9/20,0.0
2/10/20,0.0
2/11/20,0.0
2/12/20,0.0
2/13/20,0.0
2/14/20,0.0
2/15/20,0.0
2/16/20,0.0
2/17/20,0.0
2/18/20,0.0
2/19/20,0.0
2/20/20,0.0
2/21/20,0.0
2/22/20,0.0
2/23/20,0.0
2/24/20,0.0
2/25/20,0.0
2/26/20,0.0
2/27/20,0.0
2/28/20,0.0
2/29/20,0.0
3/1/20,0.0
3/2/20,0.0
3/3/20,0.0
3/4/20,0.0
3/5/20,0.0
3/6/20,0.0
3/7/20,0.0
3/8/20,0.0
3/9/20,0.0
3/10/20,0.0
3/11/20,0.0
3/12/20,0.0
3/13/20,1.0
3/14/20,4.0
3/15/20,1.0
3/16/20,0.0
3/17/20,2.0
3/18/20,2.0
3/19/20,1.0
3/20/20,9.0
3/21/20,7.0
3/22/20,7.0
3/23/20,0.0
3/24/20,17.0
3/25/20,14.0
3/26/20,25.0
3/27/20,19.0
3/28/20,20.0
3/29/20,25.0
3/30/20,17.0
3/31/20,27.0
4/1/20,10.0
4/2/20,33.0
4/3/20,2.0
4/4/20,22.0
4/5/20,21.0
4/6/20,13.0
4/7/20,20.0
4/8/20,13.0
4/9/20,22.0
4/10/20,11.0
4/11/20,12.0
4/12/20,10.0
4/13/20,7.0
4/14/20,5.0
4/15/20,5.0
4/16/20,11.0
4/17/20,7.0
4/18/20,4.0
4/19/20,7.0
4/20/20,0.0
4/21/20,4.0
4/22/20,2.0
4/23/20,3.0
4/24/20,2.0
4/25/20,1.0
4/26/20,3.0
4/27/20,1.0
4/28/20,2.0
4/29/20,0.0
4/30/20,2.0
5/1/20,0.0
5/2/20,2.0
5/3/20,0.0
5/4/20,2.0
5/5/20,-1.0
5/6/20,0.0
5/7/20,0.0
5/8/20,2.0
5/9/20,0.0
5/10/20,0.0
5/11/20,1.0
5/12/20,2.0
5/13/20,1.0
5/14/20,0.0
5/15/20,4.0
5/16/20,2.0
5/17/20,0.0
5/18/20,2.0
5/19/20,1.0
5/20/20,7.0
5/21/20,1.0
5/22/20,0.0
5/23/20,0.0
5/24/20,0.0
5/25/20,0.0
5/26/20,0.0
5/27/20,2.0
5/28/20,4.0
5/29/20,8.0
5/30/20,12.0
5/31/20,10.0
6/1/20,4.0
6/2/20,4.0
6/3/20,2.0
6/4/20,14.0
6/5/20,2.0
6/6/20,-1.0
6/7/20,5.0
6/8/20,3.0
6/9/20,6.0
6/10/20,7.0
6/11/20,2.0
6/12/20,10.0
6/13/20,15.0
6/14/20,13.0
6/15/20,8.0
6/16/20,5.0
6/17/20,16.0
6/18/20,25.0
6/19/20,11.0
6/20/20,32.0
6/21/20,19.0
6/22/20,17.0
6/23/20,9.0
6/24/20,23.0
6/25/20,37.0
6/26/20,26.0
6/27/20,23.0
6/28/20,11.0
6/29/20,56.0
6/30/20,48.0
7/1/20,49.0
7/2/20,67.0
7/3/20,45.0
7/4/20,39.0
7/5/20,45.0
7/6/20,37.0
7/7/20,78.0
7/8/20,44.0
7/9/20,95.0
7/10/20,127.0
7/11/20,84.0
7/12/20,81.0
7/13/20,85.0
7/14/20,109.0
7/15/20,144.0
7/16/20,135.0
7/17/20,135.0
7/18/20,105.0
7/19/20,62.0
7/20/20,87.0
7/21/20,91.0
7/22/20,101.0
7/23/20,97.0
7/24/20,129.0
7/25/20,221.0
7/26/20,82.0
7/27/20,39.0
7/28/20,94.0
7/29/20,202.0
7/30/20,138.0
7/31/20,151.0
8/1/20,116.0
8/2/20,112.0
8/3/20,40.0
8/4/20,81.0
8/5/20,115.0
8/6/20,173.0
8/7/20,155.0
8/8/20,132.0
8/9/20,63.0
8/10/20,65.0
8/11/20,87.0
8/12/20,164.0
8/13/20,139.0
8/14/20,134.0
8/15/20,118.0
8/16/20,91.0
8/17/20,42.0
8/18/20,54.0
8/19/20,110.0
8/20/20,116.0
8/21/20,144.0
8/22/20,160.0
8/23/20,53.0
8/24/20,60.0
8/25/20,135.0
8/26/20,161.0
8/27/20,144.0
8/28/20,134.0
8/29/20,188.0
8/30/20,89.0
8/31/20,81.0
9/1/20,88.0
9/2/20,182.0
9/3/20,180.0
9/4/20,148.0
9/5/20,145.0
9/6/20,100.0
9/7/20,52.0
9/8/20,65.0
9/9/20,87.0
9/10/20,195.0
9/11/20,122.0
9/12/20,140.0
9/13/20,96.0
9/14/20,86.0
9/15/20,137.0
9/16/20,187.0
9/17/20,216.0
9/18/20,224.0
9/19/20,292.0
9/20/20,136.0
9/21/20,130.0
9/22/20,271.0
9/23/20,212.0
9/24/20,330.0
9/25/20,322.0
9/26/20,343.0
9/27/20,200.0
9/28/20,306.0
9/29/20,311.0
9/30/20,347.0
10/1/20,429.0
10/2/20,355.0
10/3/20,501.0
10/4/20,279.0
10/5/20,212.0
10/6/20,500.0
10/7/20,716.0
10/8/20,614.0
10/9/20,722.0
10/10/20,718.0
10/11/20,585.0
10/12/20,423.0
10/13/20,486.0
10/14/20,599.0
10/15/20,723.0
10/16/20,662.0
10/17/20,630.0
10/18/20,596.0
10/19/20,569.0
10/20/20,703.0
10/21/20,619.0
10/22/20,928.0
10/23/20,863.0
10/24/20,639.0
10/25/20,738.0
10/26/20,621.0
10/27/20,845.0
10/28/20,620.0
10/29/20,887.0
10/30/20,1063.0
10/31/20,885.0
11/1/20,694.0
11/2/20,757.0
11/3/20,907.0
11/4/20,796.0
11/5/20,1013.0
11/6/20,979.0
11/7/20,1001.0
11/8/20,731.0
11/9/20,374.0
11/10/20,1098.0
11/11/20,919.0
11/12/20,961.0
11/13/20,1213.0
11/14/20,1642.0
11/15/20,1272.0
11/16/20,869.0
11/17/20,1371.0
11/18/20,1184.0
11/19/20,1236.0
11/20/20,1475.0
11/21/20,1249.0
11/22/20,1138.0
11/23/20,701.0
11/24/20,1123.0
11/25/20,1061.0
11/26/20,1117.0
11/27/20,114.0
11/28/20,1049.0
11/29/20,956.0
11/30/20,397.0
12/1/20,1007.0
12/2/20,1135.0
12/3/20,782.0
12/4/20,1314.0
12/5/20,633.0
12/6/20,806.0
12/7/20,716.0
12/8/20,755.0
12/9/20,787.0
12/10/20,759.0
12/11/20,978.0
12/12/20,774.0
12/13/20,659.0
12/14/20,0.0
12/15/20,737.0
12/16/20,604.0
12/17/20,839.0
12/18/20,509.0
12/19/20,627.0
12/20/20,551.0
12/21/20,154.0
12/22/20,623.0
12/23/20,575.0
12/24/20,407.0
12/25/20,0.0
12/26/20,504.0
12/27/20,347.0
12/28/20,219.0
12/29/20,427.0
12/30/20,874.0
12/31/20,255.0
1/1/21,0.0
1/2/21,389.0
1/3/21,437.0
1/4/21,283.0
1/5/21,714.0
1/6/21,682.0
1/7/21,690.0
1/8/21,818.0
1/9/21,534.0
1/10/21,222.0
1/11/21,329.0
1/12/21,424.0
1/13/21,576.0
1/14/21,457.0
1/15/21,525.0
1/16/21,421.0
1/17/21,337.0
1/18/21,183.0
1/19/21,288.0
1/20/21,391.0
1/21/21,394.0
1/22/21,400.0
1/23/21,361.0
1/24/21,242.0
1/25/21,164.0
1/26/21,344.0
1/27/21,371.0
1/28/21,403.0
1/29/21,312.0
1/30/21,516.0
1/31/21,187.0
2/1/21,121.0
2/2/21,314.0
2/3/21,426.0
2/4/21,301.0
2/5/21,347.0
2/6/21,259.0
2/7/21,73.0
2/8/21,124.0
2/9/21,374.0
2/10/21,307.0
2/11/21,247.0
2/12/21,221.0
2/13/21,234.0
2/14/21,104.0
2/15/21,138.0
2/16/21,127.0
2/17/21,234.0
2/18/21,200.0
2/19/21,277.0
2/20/21,264.0
2/21/21,138.0
2/22/21,31.0
2/23/21,230.0
2/24/21,202.0
2/25/21,203.0
2/26/21,168.0
2/27/21,224.0
2/28/21,117.0
3/1/21,49.0
3/2/21,155.0
3/3/21,193.0
3/4/21,180.0
3/5/21,125.0
3/6/21,0.0
3/7/21,258.0
3/8/21,45.0
3/9/21,134.0
3/10/21,150.0
3/11/21,181.0
3/12/21,132.0
3/13/21,170.0
3/14/21,34.0
3/15/21,173.0
3/16/21,411.0
3/17/21,140.0
3/18/21,132.0
3/19/21,152.0
3/20/21,198.0
3/21/21,94.0
3/22/21,38.0
3/23/21,354.0
3/24/21,214.0
3/25/21,164.0
3/26/21,150.0
3/27/21,117.0
3/28/21,31.0
3/29/21,35.0
3/30/21,158.0
3/31/21,231.0
4/1/21,173.0
4/2/21,128.0
4/3/21,182.0
4/4/21,107.0
4/5/21,0.0
4/6/21,191.0
4/7/21,193.0
4/8/21,224.0
4/9/21,224.0
4/10/21,168.0
4/11/21,41.0
4/12/21,70.0
4/13/21,173.0
4/14/21,205.0
4/15/21,192.0
4/16/21,118.0
4/17/21,148.0
4/18/21,56.0
4/19/21,57.0
4/20/21,177.0
4/21/21,158.0
4/22/21,181.0
4/23/21,155.0
4/24/21,175.0
4/25/21,49.0
4/26/21,14.0
4/27/21,176.0
4/28/21,202.0
4/29/21,174.0
4/30/21,154.0
5/1/21,168.0
5/2/21,45.0
