,Maine
1/22/20,
1/23/20,0.0
1/24/20,0.0
1/25/20,0.0
1/26/20,0.0
1/27/20,0.0
1/28/20,0.0
1/29/20,0.0
1/30/20,0.0
1/31/20,0.0
2/1/20,0.0
2/2/20,0.0
2/3/20,0.0
2/4/20,0.0
2/5/20,0.0
2/6/20,0.0
2/7/20,0.0
2/8/20,0.0
2/9/20,0.0
2/10/20,0.0
2/11/20,0.0
2/12/20,0.0
2/13/20,0.0
2/14/20,0.0
2/15/20,0.0
2/16/20,0.0
2/17/20,0.0
2/18/20,0.0
2/19/20,0.0
2/20/20,0.0
2/21/20,0.0
2/22/20,0.0
2/23/20,0.0
2/24/20,0.0
2/25/20,0.0
2/26/20,0.0
2/27/20,0.0
2/28/20,0.0
2/29/20,0.0
3/1/20,0.0
3/2/20,0.0
3/3/20,0.0
3/4/20,0.0
3/5/20,0.0
3/6/20,0.0
3/7/20,0.0
3/8/20,0.0
3/9/20,0.0
3/10/20,0.0
3/11/20,0.0
3/12/20,1.0
3/13/20,2.0
3/14/20,0.0
3/15/20,-1.0
3/16/20,15.0
3/17/20,9.0
3/18/20,9.0
3/19/20,17.0
3/20/20,4.0
3/21/20,14.0
3/22/20,19.0
3/23/20,18.0
3/24/20,11.0
3/25/20,24.0
3/26/20,13.0
3/27/20,13.0
3/28/20,43.0
3/29/20,42.0
3/30/20,22.0
3/31/20,28.0
4/1/20,0.0
4/2/20,73.0
4/3/20,56.0
4/4/20,24.0
4/5/20,14.0
4/6/20,29.0
4/7/20,20.0
4/8/20,18.0
4/9/20,23.0
4/10/20,26.0
4/11/20,30.0
4/12/20,17.0
4/13/20,65.0
4/14/20,37.0
4/15/20,35.0
4/16/20,26.0
4/17/20,31.0
4/18/20,20.0
4/19/20,20.0
4/20/20,8.0
4/21/20,13.0
4/22/20,19.0
4/23/20,30.0
4/24/20,28.0
4/25/20,0.0
4/26/20,50.0
4/27/20,8.0
4/28/20,17.0
4/29/20,16.0
4/30/20,39.0
5/1/20,28.0
5/2/20,30.0
5/3/20,32.0
5/4/20,20.0
5/5/20,21.0
5/6/20,28.0
5/7/20,76.0
5/8/20,44.0
5/9/20,34.0
5/10/20,28.0
5/11/20,26.0
5/12/20,15.0
5/13/20,38.0
5/14/20,50.0
5/15/20,38.0
5/16/20,45.0
5/17/20,39.0
5/18/20,26.0
5/19/20,28.0
5/20/20,78.0
5/21/20,58.0
5/22/20,71.0
5/23/20,65.0
5/24/20,42.0
5/25/20,19.0
5/26/20,35.0
5/27/20,28.0
5/28/20,52.0
5/29/20,37.0
5/30/20,56.0
5/31/20,43.0
6/1/20,24.0
6/2/20,28.0
6/3/20,41.0
6/4/20,28.0
6/5/20,36.0
6/6/20,42.0
6/7/20,46.0
6/8/20,18.0
6/9/20,18.0
6/10/20,31.0
6/11/20,30.0
6/12/20,54.0
6/13/20,36.0
6/14/20,36.0
6/15/20,17.0
6/16/20,9.0
6/17/20,17.0
6/18/20,42.0
6/19/20,35.0
6/20/20,25.0
6/21/20,19.0
6/22/20,14.0
6/23/20,25.0
6/24/20,21.0
6/25/20,53.0
6/26/20,32.0
6/27/20,52.0
6/28/20,37.0
6/29/20,28.0
6/30/20,34.0
7/1/20,41.0
7/2/20,34.0
7/3/20,45.0
7/4/20,24.0
7/5/20,18.0
7/6/20,8.0
7/7/20,17.0
7/8/20,20.0
7/9/20,26.0
7/10/20,13.0
7/11/20,21.0
7/12/20,19.0
7/13/20,19.0
7/14/20,8.0
7/15/20,12.0
7/16/20,20.0
7/17/20,38.0
7/18/20,9.0
7/19/20,42.0
7/20/20,24.0
7/21/20,12.0
7/22/20,-1.0
7/23/20,15.0
7/24/20,20.0
7/25/20,33.0
7/26/20,24.0
7/27/20,18.0
7/28/20,6.0
7/29/20,28.0
7/30/20,22.0
7/31/20,24.0
8/1/20,25.0
8/2/20,21.0
8/3/20,12.0
8/4/20,7.0
8/5/20,17.0
8/6/20,5.0
8/7/20,17.0
8/8/20,12.0
8/9/20,16.0
8/10/20,7.0
8/11/20,1.0
8/12/20,18.0
8/13/20,19.0
8/14/20,27.0
8/15/20,28.0
8/16/20,24.0
8/17/20,29.0
8/18/20,16.0
8/19/20,22.0
8/20/20,18.0
8/21/20,33.0
8/22/20,32.0
8/23/20,18.0
8/24/20,21.0
8/25/20,12.0
8/26/20,20.0
8/27/20,25.0
8/28/20,22.0
8/29/20,56.0
8/30/20,22.0
8/31/20,15.0
9/1/20,20.0
9/2/20,19.0
9/3/20,50.0
9/4/20,15.0
9/5/20,0.0
9/6/20,50.0
9/7/20,18.0
9/8/20,13.0
9/9/20,-1.0
9/10/20,47.0
9/11/20,32.0
9/12/20,42.0
9/13/20,29.0
9/14/20,41.0
9/15/20,14.0
9/16/20,23.0
9/17/20,21.0
9/18/20,40.0
9/19/20,32.0
9/20/20,43.0
9/21/20,29.0
9/22/20,40.0
9/23/20,24.0
9/24/20,44.0
9/25/20,20.0
9/26/20,24.0
9/27/20,29.0
9/28/20,13.0
9/29/20,37.0
9/30/20,52.0
10/1/20,39.0
10/2/20,38.0
10/3/20,18.0
10/4/20,35.0
10/5/20,25.0
10/6/20,21.0
10/7/20,38.0
10/8/20,35.0
10/9/20,27.0
10/10/20,30.0
10/11/20,25.0
10/12/20,32.0
10/13/20,28.0
10/14/20,36.0
10/15/20,18.0
10/16/20,29.0
10/17/20,49.0
10/18/20,25.0
10/19/20,24.0
10/20/20,26.0
10/21/20,37.0
10/22/20,39.0
10/23/20,31.0
10/24/20,42.0
10/25/20,63.0
10/26/20,52.0
10/27/20,58.0
10/28/20,77.0
10/29/20,80.0
10/30/20,100.0
10/31/20,96.0
11/1/20,49.0
11/2/20,87.0
11/3/20,127.0
11/4/20,146.0
11/5/20,189.0
11/6/20,184.0
11/7/20,156.0
11/8/20,93.0
11/9/20,195.0
11/10/20,172.0
11/11/20,142.0
11/12/20,193.0
11/13/20,244.0
11/14/20,152.0
11/15/20,153.0
11/16/20,173.0
11/17/20,246.0
11/18/20,156.0
11/19/20,215.0
11/20/20,224.0
11/21/20,165.0
11/22/20,236.0
11/23/20,185.0
11/24/20,255.0
11/25/20,228.0
11/26/20,238.0
11/27/20,0.0
11/28/20,23.0
11/29/20,220.0
11/30/20,249.0
12/1/20,224.0
12/2/20,227.0
12/3/20,346.0
12/4/20,290.0
12/5/20,283.0
12/6/20,221.0
12/7/20,427.0
12/8/20,274.0
12/9/20,405.0
12/10/20,407.0
12/11/20,345.0
12/12/20,414.0
12/13/20,303.0
12/14/20,426.0
12/15/20,411.0
12/16/20,551.0
12/17/20,590.0
12/18/20,436.0
12/19/20,401.0
12/20/20,208.0
12/21/20,339.0
12/22/20,458.0
12/23/20,748.0
12/24/20,735.0
12/25/20,321.0
12/26/20,0.0
12/27/20,333.0
12/28/20,439.0
12/29/20,590.0
12/30/20,590.0
12/31/20,702.0
1/1/21,701.0
1/2/21,343.0
1/3/21,347.0
1/4/21,375.0
1/5/21,598.0
1/6/21,525.0
1/7/21,535.0
1/8/21,782.0
1/9/21,612.0
1/10/21,279.0
1/11/21,313.0
1/12/21,715.0
1/13/21,824.0
1/14/21,808.0
1/15/21,823.0
1/16/21,438.0
1/17/21,340.0
1/18/21,317.0
1/19/21,386.0
1/20/21,701.0
1/21/21,675.0
1/22/21,636.0
1/23/21,324.0
1/24/21,0.0
1/25/21,448.0
1/26/21,664.0
1/27/21,460.0
1/28/21,284.0
1/29/21,359.0
1/30/21,355.0
1/31/21,156.0
2/1/21,219.0
2/2/21,417.0
2/3/21,273.0
2/4/21,301.0
2/5/21,265.0
2/6/21,266.0
2/7/21,154.0
2/8/21,200.0
2/9/21,217.0
2/10/21,253.0
2/11/21,175.0
2/12/21,201.0
2/13/21,160.0
2/14/21,104.0
2/15/21,148.0
2/16/21,96.0
2/17/21,104.0
2/18/21,218.0
2/19/21,134.0
2/20/21,138.0
2/21/21,130.0
2/22/21,97.0
2/23/21,142.0
2/24/21,164.0
2/25/21,218.0
2/26/21,178.0
2/27/21,197.0
2/28/21,142.0
3/1/21,128.0
3/2/21,181.0
3/3/21,147.0
3/4/21,140.0
3/5/21,225.0
3/6/21,183.0
3/7/21,155.0
3/8/21,139.0
3/9/21,133.0
3/10/21,195.0
3/11/21,187.0
3/12/21,209.0
3/13/21,206.0
3/14/21,169.0
3/15/21,174.0
3/16/21,189.0
3/17/21,196.0
3/18/21,241.0
3/19/21,239.0
3/20/21,222.0
3/21/21,171.0
3/22/21,178.0
3/23/21,131.0
3/24/21,199.0
3/25/21,218.0
3/26/21,253.0
3/27/21,210.0
3/28/21,197.0
3/29/21,180.0
3/30/21,223.0
3/31/21,251.0
4/1/21,284.0
4/2/21,401.0
4/3/21,281.0
4/4/21,295.0
4/5/21,221.0
4/6/21,291.0
4/7/21,400.0
4/8/21,319.0
4/9/21,438.0
4/10/21,311.0
4/11/21,215.0
4/12/21,296.0
4/13/21,571.0
4/14/21,547.0
4/15/21,580.0
4/16/21,571.0
4/17/21,414.0
4/18/21,346.0
4/19/21,260.0
4/20/21,420.0
4/21/21,500.0
4/22/21,403.0
4/23/21,371.0
4/24/21,373.0
4/25/21,164.0
4/26/21,229.0
4/27/21,425.0
4/28/21,261.0
4/29/21,254.0
4/30/21,268.0
5/1/21,403.0
5/2/21,231.0
