State,Total Funds for 2020 (in billions),Estimated Population (2019),Funds Per Person (2020)
California,15.321,39512223,387.75343012211687
Texas,11.243,28995881,387.7447282943394
Florida,8.328,21477737,387.750348186124
New York,7.543,19453561,387.7439199949048
Pennsylvania,4.964,12801989,387.7522469360035
