State,Total Funds for 2021 (in billions),Estimated Population (2019),Funds Per Person (2021)
California,27.017,39512223,683.7630978140612
Texas,15.814,28995881,545.3878087028982
New York,12.744,19453561,655.0985703851342
Florida,8.816,21477737,410.47155014515727
Illinois,8.127,12671821,641.3442866656655
