,Oklahoma
1/18/21,357333
1/19/21,358909
1/20/21,360913
1/21/21,363614
1/22/21,366576
1/23/21,370751
1/24/21,373703
1/25/21,375487
1/26/21,377079
1/27/21,379789
1/28/21,382120
1/29/21,384921
1/30/21,387307
1/31/21,390197
2/1/21,391611
2/2/21,392923
2/3/21,395062
2/4/21,397858
2/5/21,400527
2/6/21,402590
2/7/21,404782
2/8/21,405839
2/9/21,406920
2/10/21,408592
2/11/21,410288
2/12/21,411727
2/13/21,413201
2/14/21,414478
2/15/21,415210
2/16/21,415726
2/17/21,416805
2/18/21,417442
2/19/21,418319
2/20/21,419298
2/21/21,420345
2/22/21,420856
2/23/21,421223
2/24/21,422038
2/25/21,423191
2/26/21,424062
2/27/21,424843
2/28/21,425557
3/1/21,425946
3/2/21,426065
3/3/21,426821
3/4/21,427722
3/5/21,428645
3/6/21,429635
3/7/21,430103
3/8/21,430286
3/9/21,430565
3/10/21,431397
3/11/21,432103
3/12/21,432532
3/13/21,433168
3/14/21,433669
3/15/21,433996
3/16/21,434239
3/17/21,434745
3/18/21,435317
3/19/21,435742
3/20/21,435747
3/21/21,435755
3/22/21,436730
3/23/21,436929
3/24/21,437439
3/25/21,437821
3/26/21,438295
3/27/21,438306
3/28/21,438319
3/29/21,439210
3/30/21,439340
3/31/21,439740
4/1/21,440164
4/2/21,440545
4/3/21,440547
4/4/21,440547
4/5/21,441436
4/6/21,440142
4/7/21,441906
4/8/21,442389
4/9/21,442805
4/10/21,442805
4/11/21,442805
4/12/21,443773
4/13/21,443882
4/14/21,444228
4/15/21,444590
4/16/21,444863
4/17/21,444863
4/18/21,444863
4/19/21,445650
4/20/21,445725
4/21/21,445963
4/22/21,446246
4/23/21,446550
4/24/21,446550
4/25/21,446550
4/26/21,447278
4/27/21,447393
4/28/21,447642
4/29/21,447931
4/30/21,448305
5/1/21,448305
5/2/21,448305
